   1.4500000e+03   5.0000000e+01   4.3200000e+01   4.0600000e+01             NaN             NaN             NaN   6.7000000e+01   8.0000000e+00             NaN   1.0000000e+00   1.1897109e+00   1.0000000e+00
   1.4500000e+03   5.0000000e+01   4.3200000e+01   4.0600000e+01             NaN             NaN             NaN   4.9000000e+01   3.2000000e+00             NaN   1.0000000e+00   1.1897109e+00   2.0000000e+00
  -2.5000000e+02   5.0000000e+01   4.0800000e+01   2.0010000e+01             NaN             NaN             NaN   6.6800000e+01   5.0000000e+00             NaN   1.0000000e+01   1.0000000e+00   3.0000000e+00
   9.4000000e+01   1.6300000e+02  -2.8640000e+01  -6.5780000e+01             NaN             NaN             NaN   1.6900000e+01   3.2000000e+00             NaN   1.0000000e+00   4.9850217e+00   4.0000000e+00
   9.4000000e+01   1.6300000e+02  -2.8640000e+01  -6.5780000e+01             NaN             NaN             NaN   4.5100000e+01   7.7000000e+00             NaN   1.0000000e+00   4.9850217e+00   5.0000000e+00
   1.9500000e+02   1.4500000e+02  -2.8640000e+01  -6.5780000e+01             NaN             NaN             NaN   3.3900000e+01   5.0000000e+00             NaN   1.0000000e+00   4.9902827e+00   6.0000000e+00
   1.9500000e+02   1.4500000e+02  -2.8640000e+01  -6.5780000e+01             NaN             NaN             NaN   4.1700000e+01   3.2000000e+00             NaN   1.0000000e+00   4.9902827e+00   7.0000000e+00
   2.6900000e+02   1.5600000e+02  -2.8640000e+01  -6.5780000e+01             NaN             NaN             NaN   5.2900000e+01   7.0000000e+00             NaN   1.0000000e+00   4.9531858e+00   8.0000000e+00
   2.9800000e+02   9.3000000e+01  -2.8640000e+01  -6.5780000e+01             NaN             NaN             NaN   3.7300000e+01   4.8000000e+00             NaN   1.0000000e+00   4.9531858e+00   9.0000000e+00
   4.1200000e+02   1.7900000e+02  -2.8640000e+01  -6.5780000e+01             NaN             NaN             NaN   4.9400000e+01   4.3000000e+00             NaN   1.0000000e+00   4.8516043e+00   1.0000000e+01
   4.4900000e+02   2.3400000e+02  -2.8640000e+01  -6.5780000e+01             NaN             NaN             NaN   4.9700000e+01   3.6000000e+00             NaN   1.0000000e+00   4.8516043e+00   1.1000000e+01
   4.9500000e+02   8.5000000e+01  -2.8640000e+01  -6.5780000e+01             NaN             NaN             NaN   2.3400000e+01   5.1000000e+00             NaN   1.0000000e+00   4.9858287e+00   1.2000000e+01
   8.2900000e+02   6.5000000e+01  -2.8640000e+01  -6.5780000e+01             NaN             NaN             NaN   4.3100000e+01   4.2000000e+00             NaN   1.0000000e+00   5.0000000e+00   1.3000000e+01
   9.0800000e+02   1.3900000e+02  -2.8640000e+01  -6.5780000e+01             NaN             NaN             NaN   6.0500000e+01   3.2000000e+00             NaN   1.0000000e+00   4.9474915e+00   1.4000000e+01
   9.9000000e+02   7.0000000e+01  -2.6700000e+01  -6.6100000e+01             NaN             NaN             NaN   5.4300000e+01   3.2000000e+00             NaN   1.0000000e+01   4.9587375e+00   1.5000000e+01
   1.0600000e+03   6.0000000e+01  -2.6700000e+01  -6.6100000e+01             NaN             NaN             NaN   4.5000000e+01   3.2000000e+00             NaN   1.0000000e+01   4.9353958e+00   1.6000000e+01
   1.1300000e+03   8.0000000e+01  -2.6700000e+01  -6.6100000e+01             NaN             NaN             NaN   4.9700000e+01   4.0000000e+00             NaN   1.0000000e+00   4.9353958e+00   1.7000000e+01
   1.1800000e+03   7.0000000e+01  -2.6700000e+01  -6.6100000e+01             NaN             NaN             NaN   3.6500000e+01   3.2000000e+00             NaN   1.0000000e+00   4.8820511e+00   1.8000000e+01
   1.2700000e+03   1.1000000e+02  -2.6700000e+01  -6.6100000e+01             NaN             NaN             NaN   4.2200000e+01   4.9000000e+00             NaN   1.0000000e+00   1.4532253e+00   1.9000000e+01
   1.2700000e+03   1.1000000e+02  -2.6700000e+01  -6.6100000e+01             NaN             NaN             NaN   4.9200000e+01   5.6000000e+00             NaN   1.0000000e+00   1.4532253e+00   2.0000000e+01
   1.2900000e+03   7.0000000e+01  -2.6700000e+01  -6.6100000e+01             NaN             NaN             NaN   4.2400000e+01   4.6000000e+00             NaN   1.0000000e+00   1.4532253e+00   2.1000000e+01
   1.2900000e+03   7.0000000e+01  -2.6700000e+01  -6.6100000e+01             NaN             NaN             NaN   4.7500000e+01   4.6000000e+00             NaN   1.0000000e+00   1.4532253e+00   2.2000000e+01
   1.3000000e+03   6.0000000e+01  -2.6700000e+01  -6.6100000e+01             NaN             NaN             NaN   4.4600000e+01   3.7000000e+00             NaN   1.0000000e+00   1.4532253e+00   2.3000000e+01
   1.3200000e+03   4.0000000e+01  -2.6700000e+01  -6.6100000e+01             NaN             NaN             NaN   4.4000000e+01   5.4000000e+00             NaN   1.0000000e+00   1.4532253e+00   2.4000000e+01
   1.3500000e+03   4.0000000e+01  -2.6700000e+01  -6.6100000e+01             NaN             NaN             NaN   4.1200000e+01   3.2000000e+00             NaN   1.0000000e+00   1.0003847e+00   2.5000000e+01
   1.3600000e+03   3.0000000e+01  -2.6700000e+01  -6.6100000e+01             NaN             NaN             NaN   4.5400000e+01   3.2000000e+00             NaN   1.0000000e+00   1.0003847e+00   2.6000000e+01
   1.3600000e+03   3.0000000e+01  -2.6700000e+01  -6.6100000e+01             NaN             NaN             NaN   4.9200000e+01   4.7000000e+00             NaN   1.0000000e+00   1.0003847e+00   2.7000000e+01
   1.3700000e+03   8.0000000e+01  -2.6700000e+01  -6.6100000e+01             NaN             NaN             NaN   3.7100000e+01   8.9000000e+00             NaN   1.0000000e+00   1.0003847e+00   2.8000000e+01
   1.3800000e+03   6.0000000e+01  -2.6700000e+01  -6.6100000e+01             NaN             NaN             NaN   4.7600000e+01   3.2000000e+00             NaN   1.0000000e+01   1.0003847e+00   2.9000000e+01
   1.3800000e+03   6.0000000e+01  -2.6700000e+01  -6.6100000e+01             NaN             NaN             NaN   4.8900000e+01   7.4000000e+00             NaN   1.0000000e+00   1.0003847e+00   3.0000000e+01
   1.3900000e+03   7.0000000e+01  -2.6700000e+01  -6.6100000e+01             NaN             NaN             NaN   5.0300000e+01   3.6000000e+00             NaN   1.0000000e+00   1.0003847e+00   3.1000000e+01
   1.3900000e+03   6.0000000e+01  -2.6700000e+01  -6.6100000e+01             NaN             NaN             NaN   5.5400000e+01   6.2000000e+00             NaN   1.0000000e+00   1.0003847e+00   3.2000000e+01
